RTH #	RSH #	RTK #	TH	SH	K	H POS	RTH Keyword	RSH Keyword	RTK Keyword	RTH Read	TH Read	RTH Lesson	RSH Lesson	RTK Lesson	K and H check	SH and TH check	K and TH keywords	SH and TH keywords	K and H Visual Check	orthodox	prc_variant	jpn_variant	is_duplicate
			烊	烊	烊					yáng|yàng					K = SH	SH = TH	RTK key & RTH key missing			烊			FALSE
			烜	烜	烜					xuǎn					K = SH	SH = TH	RTK key & RTH key missing			烜			FALSE
			烯	烯						xī					K missing	SH = TH	RTK key & RTH key missing			烯			FALSE
			烽	烽	烽					fēng					K = SH	SH = TH	RTK key & RTH key missing			烽			FALSE
			焉	焉	焉					yān					K = SH	SH = TH	RTK key & RTH key missing			焉			FALSE
			焊	焊						hàn					K missing	SH = TH	RTK key & RTH key missing			焊			FALSE
			焙	焙	焙					bèi					K = SH	SH = TH	RTK key & RTH key missing			焙			FALSE
			煆	煆	煆					xiā|xià					K = SH	SH = TH	RTK key & RTH key missing			煆			FALSE
			煒	炜	煒					wěi|huī					K = TH	SH <> TH	RTK key & RTH key missing			煒			FALSE
			煖	煖	煖					xuān|nuǎn					K = SH	SH = TH	RTK key & RTH key missing			煖			FALSE
			煦	煦	煦					xù					K = SH	SH = TH	RTK key & RTH key missing			煦			FALSE
			煨	煨	煨					wēi					K = SH	SH = TH	RTK key & RTH key missing			煨			FALSE
			煬	炀	煬					yáng					K = TH	SH <> TH	RTK key & RTH key missing			煬			FALSE
			熒	荧	熒					yíng					K = TH	SH <> TH	RTK key & RTH key missing			熒			FALSE
			熨	熨	熨					yùn					K = SH	SH = TH	RTK key & RTH key missing			熨			FALSE
			熹	熹	熹					xī					K = SH	SH = TH	RTK key & RTH key missing			熹			FALSE
			熾	炽	熾					chì					K = TH	SH <> TH	RTK key & RTH key missing			熾			FALSE
			燄	燄	燄					yàn					K = SH	SH = TH	RTK key & RTH key missing			燄			FALSE
			燉	炖	燉					Dūn					K = TH	SH <> TH	RTK key & RTH key missing			燉			FALSE
			燋	燋	燋					jiāo|qiáo|jué|zhuó					K = SH	SH = TH	RTK key & RTH key missing			燋			FALSE
			燜	焖	燜					mèn					K = TH	SH <> TH	RTK key & RTH key missing			燜			FALSE
			燠	燠	燠					yù					K = SH	SH = TH	RTK key & RTH key missing			燠			FALSE
			燧	燧	燧					suì					K = SH	SH = TH	RTK key & RTH key missing			燧			FALSE
			燬	燬	燬					huǐ					K = SH	SH = TH	RTK key & RTH key missing			燬			FALSE
			燴	烩						huì					K missing	SH <> TH	RTK key & RTH key missing			燴			FALSE
			燻	燻	燻					xūn					K = SH	SH = TH	RTK key & RTH key missing			燻			FALSE
			燼	烬	燼					jìn					K = TH	SH <> TH	RTK key & RTH key missing			燼			FALSE
			爨	爨	爨					cuàn					K = SH	SH = TH	RTK key & RTH key missing			爨			FALSE
			爻	爻	爻					yáo					K = SH	SH = TH	RTK key & RTH key missing			爻			FALSE
			牖	牖	牖					yǒu					K = SH	SH = TH	RTK key & RTH key missing			牖			FALSE
			牘	牍	牘					dú					K = TH	SH <> TH	RTK key & RTH key missing			牘			FALSE
			牠	牠	牠					tā					K = SH	SH = TH	RTK key & RTH key missing			牠			FALSE
			牯	牯	牯					gǔ					K = SH	SH = TH	RTK key & RTH key missing			牯			FALSE
			牴	牴	牴					dǐ					K = SH	SH = TH	RTK key & RTH key missing			牴			FALSE
			犄	犄	犄					jī					K = SH	SH = TH	RTK key & RTH key missing			犄			FALSE
			犒	犒	犒					kào					K = SH	SH = TH	RTK key & RTH key missing			犒			FALSE
			犖	荦	犖					luò					K = TH	SH <> TH	RTK key & RTH key missing			犖			FALSE
			犛	犛	犛					lí|máo					K = SH	SH = TH	RTK key & RTH key missing			犛			FALSE
			犢	犊	犢					dú					K = TH	SH <> TH	RTK key & RTH key missing			犢			FALSE
			犰	犰						qiú					K missing	SH = TH	RTK key & RTH key missing			犰			FALSE
			狄	狄	狄					Dí					K = SH	SH = TH	RTK key & RTH key missing			狄			FALSE
			狎	狎	狎					xiá					K = SH	SH = TH	RTK key & RTH key missing			狎			FALSE
			狷	狷	狷					juàn					K = SH	SH = TH	RTK key & RTH key missing			狷			FALSE
			狺	狺	狺					yín					K = SH	SH = TH	RTK key & RTH key missing			狺			FALSE
			猖	猖	猖					chāng					K = SH	SH = TH	RTK key & RTH key missing			猖			FALSE
			猗	猗	猗					ē|yī					K = SH	SH = TH	RTK key & RTH key missing			猗			FALSE
			猙	狰	猙					zhēng					K = TH	SH <> TH	RTK key & RTH key missing			猙			FALSE
			猷	猷	猷					yóu					K = SH	SH = TH	RTK key & RTH key missing			猷			FALSE
			獃	獃	獃					ái					K = SH	SH = TH	RTK key & RTH key missing			獃			FALSE
			獐	獐	獐					zhāng					K = SH	SH = TH	RTK key & RTH key missing			獐			FALSE
			獗	獗	獗					jué					K = SH	SH = TH	RTK key & RTH key missing			獗			FALSE
			獢	獢						huá|xiāo					K missing	SH = TH	RTK key & RTH key missing			獢			FALSE
			獰	狞	獰					níng					K = TH	SH <> TH	RTK key & RTH key missing			獰			FALSE
			獷	犷	獷					guǎng					K = TH	SH <> TH	RTK key & RTH key missing			獷			FALSE
			獺	獭	獺					tǎ					K = TH	SH <> TH	RTK key & RTH key missing			獺			FALSE
			玀	猡	玀					luó					K = TH	SH <> TH	RTK key & RTH key missing			玀			FALSE
			玟	玟	玟					mín					K = SH	SH = TH	RTK key & RTH key missing			玟			FALSE
			玨	珏						jué					K missing	SH <> TH	RTK key & RTH key missing			玨			FALSE
			玳	玳	玳					dài					K = SH	SH = TH	RTK key & RTH key missing			玳			FALSE
			玷	玷	玷					diàn					K = SH	SH = TH	RTK key & RTH key missing			玷			FALSE
			珀	珀	珀					pò					K = SH	SH = TH	RTK key & RTH key missing			珀			FALSE
			珞	珞	珞					luò					K = SH	SH = TH	RTK key & RTH key missing			珞			FALSE
			珮	珮	珮					pèi					K = SH	SH = TH	RTK key & RTH key missing			珮			FALSE
			琅	琅	琅					láng					K = SH	SH = TH	RTK key & RTH key missing			琅			FALSE
			琊	琊	琊					yé|yá					K = SH	SH = TH	RTK key & RTH key missing			琊			FALSE
			琥	琥	琥					hǔ					K = SH	SH = TH	RTK key & RTH key missing			琥			FALSE
			琦	琦	琦					qí					K = SH	SH = TH	RTK key & RTH key missing			琦			FALSE
			琨	琨	琨					kūn					K = SH	SH = TH	RTK key & RTH key missing			琨			FALSE
			琪	琪	琪					qí					K = SH	SH = TH	RTK key & RTH key missing			琪			FALSE
			琯	琯	琯					guǎn|gǔn|gùn|guān|guàn					K = SH	SH = TH	RTK key & RTH key missing			琯			FALSE
			琺	珐	琺					fà					K = TH	SH <> TH	RTK key & RTH key missing			琺			FALSE
			瑁	瑁	瑁					mào					K = SH	SH = TH	RTK key & RTH key missing			瑁			FALSE
			瑕	瑕	瑕					xiá					K = SH	SH = TH	RTK key & RTH key missing			瑕			FALSE
			瑙	瑙	瑙					nǎo					K = SH	SH = TH	RTK key & RTH key missing			瑙			FALSE
			瑜	瑜	瑜					yú					K = SH	SH = TH	RTK key & RTH key missing			瑜			FALSE
			瑯	瑯	瑯					láng|lán					K = SH	SH = TH	RTK key & RTH key missing			瑯			FALSE
			瑾	瑾	瑾					jǐn					K = SH	SH = TH	RTK key & RTH key missing			瑾			FALSE
			璀	璀	璀					cuǐ					K = SH	SH = TH	RTK key & RTH key missing			璀			FALSE
			璇	璇	璇					xuán					K = SH	SH = TH	RTK key & RTH key missing			璇			FALSE
			璉	琏	璉					liǎn					K = TH	SH <> TH	RTK key & RTH key missing			璉			FALSE
			璋	璋	璋					zhāng					K = SH	SH = TH	RTK key & RTH key missing			璋			FALSE
			璜	璜	璜					huáng					K = SH	SH = TH	RTK key & RTH key missing			璜			FALSE
			璞	璞	璞					pú					K = SH	SH = TH	RTK key & RTH key missing			璞			FALSE
			璟	璟	璟					jǐng|yǐng					K = SH	SH = TH	RTK key & RTH key missing			璟			FALSE
			璣	玑	璣					jī					K = TH	SH <> TH	RTK key & RTH key missing			璣			FALSE
			璨	璨	璨					càn					K = SH	SH = TH	RTK key & RTH key missing			璨			FALSE
			璿	璿	璿					xuán					K = SH	SH = TH	RTK key & RTH key missing			璿			FALSE
			瓏	珑	瓏					lóng					K = TH	SH <> TH	RTK key & RTH key missing			瓏			FALSE
			瓔	璎	瓔					yīng					K = TH	SH <> TH	RTK key & RTH key missing			瓔			FALSE
			瓖	瓖						xiāng					K missing	SH = TH	RTK key & RTH key missing			瓖			FALSE
			瓞	瓞	瓞					dié					K = SH	SH = TH	RTK key & RTH key missing			瓞			FALSE
			瓠	瓠	瓠					hù					K = SH	SH = TH	RTK key & RTH key missing			瓠			FALSE
			瓤	瓤	瓤					ráng					K = SH	SH = TH	RTK key & RTH key missing			瓤			FALSE
			甄	甄	甄					zhēn					K = SH	SH = TH	RTK key & RTH key missing			甄			FALSE
			甌	瓯	甌					ōu					K = TH	SH <> TH	RTK key & RTH key missing			甌			FALSE
			甍	甍	甍					méng					K = SH	SH = TH	RTK key & RTH key missing			甍			FALSE
			甕	甕	甕					wèng					K = SH	SH = TH	RTK key & RTH key missing			甕			FALSE
			甬	甬	甬					yǒng					K = SH	SH = TH	RTK key & RTH key missing			甬			FALSE
			甭	甭						béng					K missing	SH = TH	RTK key & RTH key missing			甭			FALSE
			甯	甯	甯					níng					K = SH	SH = TH	RTK key & RTH key missing			甯			FALSE
			畋	畋	畋					tián					K = SH	SH = TH	RTK key & RTH key missing			畋			FALSE
			畎	畎	畎					quǎn					K = SH	SH = TH	RTK key & RTH key missing			畎			FALSE
			畚	畚	畚					běn					K = SH	SH = TH	RTK key & RTH key missing			畚			FALSE
			畸	畸	畸					jī					K = SH	SH = TH	RTK key & RTH key missing			畸			FALSE
			疙	疙	疙					gā|gē					K = SH	SH = TH	RTK key & RTH key missing			疙			FALSE
			疚	疚	疚					jiù					K = SH	SH = TH	RTK key & RTH key missing			疚			FALSE
			疝	疝	疝					shàn					K = SH	SH = TH	RTK key & RTH key missing			疝			FALSE
			疢	疢	疢					chèn					K = SH	SH = TH	RTK key & RTH key missing			疢			FALSE
			疣	疣	疣					yóu					K = SH	SH = TH	RTK key & RTH key missing			疣			FALSE
			疥	疥	疥					jiè					K = SH	SH = TH	RTK key & RTH key missing			疥			FALSE
			疳	疳	疳					gān					K = SH	SH = TH	RTK key & RTH key missing			疳			FALSE
			疵	疵	疵					cī					K = SH	SH = TH	RTK key & RTH key missing			疵			FALSE
			疸	疸	疸					dǎn					K = SH	SH = TH	RTK key & RTH key missing			疸			FALSE
			疽	疽	疽					jū					K = SH	SH = TH	RTK key & RTH key missing			疽			FALSE
			痀	痀	痀					jū					K = SH	SH = TH	RTK key & RTH key missing			痀			FALSE
			痂	痂	痂					jiā					K = SH	SH = TH	RTK key & RTH key missing			痂			FALSE
			痊	痊	痊					quán					K = SH	SH = TH	RTK key & RTH key missing			痊			FALSE
			痍	痍	痍					yí					K = SH	SH = TH	RTK key & RTH key missing			痍			FALSE
			痙	痉	痙					jìng					K = TH	SH <> TH	RTK key & RTH key missing			痙			FALSE
			痞	痞	痞					pǐ					K = SH	SH = TH	RTK key & RTH key missing			痞			FALSE
			痠	痠	痠					suān					K = SH	SH = TH	RTK key & RTH key missing			痠			FALSE
			痣	痣	痣					zhì					K = SH	SH = TH	RTK key & RTH key missing			痣			FALSE
			痲	痲	痲					má					K = SH	SH = TH	RTK key & RTH key missing			痲			FALSE
			痳	痳	痳					lín|lìn					K = SH	SH = TH	RTK key & RTH key missing			痳			FALSE
			痼	痼	痼					gù					K = SH	SH = TH	RTK key & RTH key missing			痼			FALSE
			痿	痿	痿					wěi					K = SH	SH = TH	RTK key & RTH key missing			痿			FALSE
			瘀	瘀	瘀					yū					K = SH	SH = TH	RTK key & RTH key missing			瘀			FALSE
			瘁	瘁	瘁					cuì					K = SH	SH = TH	RTK key & RTH key missing			瘁			FALSE
			瘓	痪	瘓					huàn					K = TH	SH <> TH	RTK key & RTH key missing			瘓			FALSE
			瘟	瘟	瘟					wēn					K = SH	SH = TH	RTK key & RTH key missing			瘟			FALSE
			瘠	瘠	瘠					jí					K = SH	SH = TH	RTK key & RTH key missing			瘠			FALSE
			瘢	瘢	瘢					bān					K = SH	SH = TH	RTK key & RTH key missing			瘢			FALSE
			瘩	瘩	瘩					dā|dá					K = SH	SH = TH	RTK key & RTH key missing			瘩			FALSE
			瘴	瘴	瘴					zhàng					K = SH	SH = TH	RTK key & RTH key missing			瘴			FALSE
			瘸	瘸	瘸					qué					K = SH	SH = TH	RTK key & RTH key missing			瘸			FALSE
			瘺	瘺	瘺					lòu					K = SH	SH = TH	RTK key & RTH key missing			瘺			FALSE
			癆	痨	癆					láo					K = TH	SH <> TH	RTK key & RTH key missing			癆			FALSE
			癈	癈	癈					fèi					K = SH	SH = TH	RTK key & RTH key missing			癈			FALSE
			癘	疠	癘					lì					K = TH	SH <> TH	RTK key & RTH key missing			癘			FALSE
			癟	瘪	癟					biě|biē					K = TH	SH <> TH	RTK key & RTH key missing			癟			FALSE
			癡	癡	癡					chī					K = SH	SH = TH	RTK key & RTH key missing			癡			FALSE
			癥	癥	癥					zhēng					K = SH	SH = TH	RTK key & RTH key missing			癥			FALSE
			癩	癞	癩					lài					K = TH	SH <> TH	RTK key & RTH key missing			癩			FALSE
			癬	癣	癬					xuǎn					K = TH	SH <> TH	RTK key & RTH key missing			癬			FALSE
			癰	痈	癰					yōng					K = TH	SH <> TH	RTK key & RTH key missing			癰			FALSE
			癲	癫	癲					diān					K = TH	SH <> TH	RTK key & RTH key missing			癲			FALSE
			癸	癸	癸					guǐ					K = SH	SH = TH	RTK key & RTH key missing			癸			FALSE
			皁	皁	皁					zào					K = SH	SH = TH	RTK key & RTH key missing			皁			FALSE
			皈	皈	皈					guī					K = SH	SH = TH	RTK key & RTH key missing			皈			FALSE
			皎	皎	皎					jiǎo					K = SH	SH = TH	RTK key & RTH key missing			皎			FALSE
			皖	皖	皖					Wǎn					K = SH	SH = TH	RTK key & RTH key missing			皖			FALSE
			皚	皑	皚					ái					K = TH	SH <> TH	RTK key & RTH key missing			皚			FALSE
			皰	皰	皰					pào					K = SH	SH = TH	RTK key & RTH key missing			皰			FALSE
			皴	皴	皴					cūn					K = SH	SH = TH	RTK key & RTH key missing			皴			FALSE
			盂	盂	盂					yú					K = SH	SH = TH	RTK key & RTH key missing			盂			FALSE
			盅	盅	盅					zhōng					K = SH	SH = TH	RTK key & RTH key missing			盅			FALSE
			盍	盍	盍					hé|kě					K = SH	SH = TH	RTK key & RTH key missing			盍			FALSE
			盎	盎	盎					àng					K = SH	SH = TH	RTK key & RTH key missing			盎			FALSE
			盥	盥	盥					guàn					K = SH	SH = TH	RTK key & RTH key missing			盥			FALSE
			盹	盹	盹					dǔn					K = SH	SH = TH	RTK key & RTH key missing			盹			FALSE
			眇	眇	眇					miǎo					K = SH	SH = TH	RTK key & RTH key missing			眇			FALSE
			眈	眈	眈					dān					K = SH	SH = TH	RTK key & RTH key missing			眈			FALSE
			眵	眵	眵					chī					K = SH	SH = TH	RTK key & RTH key missing			眵			FALSE
			眶	眶	眶					kuàng					K = SH	SH = TH	RTK key & RTH key missing			眶			FALSE
			睏	睏	睏					kùn					K = SH	SH = TH	RTK key & RTH key missing			睏			FALSE
			睞	睐	睞					lài					K = TH	SH <> TH	RTK key & RTH key missing			睞			FALSE
			睢	睢	睢					suī					K = SH	SH = TH	RTK key & RTH key missing			睢			FALSE
			睥	睥	睥					pì					K = SH	SH = TH	RTK key & RTH key missing			睥			FALSE
			睨	睨	睨					nì					K = SH	SH = TH	RTK key & RTH key missing			睨			FALSE
			睫	睫	睫					jié					K = SH	SH = TH	RTK key & RTH key missing			睫			FALSE
			睽	睽	睽					kuí					K = SH	SH = TH	RTK key & RTH key missing			睽			FALSE
			瞅	瞅						chǒu|qiu					K missing	SH = TH	RTK key & RTH key missing			瞅			FALSE
			瞋	瞋	瞋					chēn					K = SH	SH = TH	RTK key & RTH key missing			瞋			FALSE
			瞌	瞌	瞌					kē					K = SH	SH = TH	RTK key & RTH key missing			瞌			FALSE
			瞟	瞟	瞟					piǎo					K = SH	SH = TH	RTK key & RTH key missing			瞟			FALSE
			瞠	瞠	瞠					chēng					K = SH	SH = TH	RTK key & RTH key missing			瞠			FALSE
			瞰	瞰	瞰					kàn					K = SH	SH = TH	RTK key & RTH key missing			瞰			FALSE
			瞵	瞵	瞵					lín					K = SH	SH = TH	RTK key & RTH key missing			瞵			FALSE
			瞼	睑	瞼					jiǎn					K = TH	SH <> TH	RTK key & RTH key missing			瞼			FALSE
			瞽	瞽	瞽					gǔ					K = SH	SH = TH	RTK key & RTH key missing			瞽			FALSE
			瞿	瞿	瞿					qú|jù					K = SH	SH = TH	RTK key & RTH key missing			瞿			FALSE
			矇	矇	矇					méng					K = SH	SH = TH	RTK key & RTH key missing			矇			FALSE
			矓	矓						lóng					K missing	SH = TH	RTK key & RTH key missing			矓			FALSE
			矚	瞩	矚					zhǔ					K = TH	SH <> TH	RTK key & RTH key missing			矚			FALSE
			矜	矜	矜					jīn|guān					K = SH	SH = TH	RTK key & RTH key missing			矜			FALSE
			矣	矣	矣					yǐ					K = SH	SH = TH	RTK key & RTH key missing			矣			FALSE
			矬	矬	矬					cuó					K = SH	SH = TH	RTK key & RTH key missing			矬			FALSE
			矽	矽						xī					K missing	SH = TH	RTK key & RTH key missing			矽			FALSE
			砒	砒	砒					pī					K = SH	SH = TH	RTK key & RTH key missing			砒			FALSE
			砝	砝	砝					fǎ					K = SH	SH = TH	RTK key & RTH key missing			砝			FALSE
			砟	砟						zhǎ					K missing	SH = TH	RTK key & RTH key missing			砟			FALSE
			砧	砧	砧					zhēn					K = SH	SH = TH	RTK key & RTH key missing			砧			FALSE
			砭	砭	砭					biān					K = SH	SH = TH	RTK key & RTH key missing			砭			FALSE
			砰	砰	砰					pēng					K = SH	SH = TH	RTK key & RTH key missing			砰			FALSE
			砷	砷	砷					shēn					K = SH	SH = TH	RTK key & RTH key missing			砷			FALSE
			硃	硃	硃					zhū					K = SH	SH = TH	RTK key & RTH key missing			硃			FALSE
			硎	硎	硎					xíng|kēng					K = SH	SH = TH	RTK key & RTH key missing			硎			FALSE
			硜	硜	硜					kēng					K = SH	SH = TH	RTK key & RTH key missing			硜			FALSE
			硼	硼	硼					pēng|péng					K = SH	SH = TH	RTK key & RTH key missing			硼			FALSE
			碉	碉						diāo					K missing	SH = TH	RTK key & RTH key missing			碉			FALSE
			碘	碘	碘					diǎn					K = SH	SH = TH	RTK key & RTH key missing			碘			FALSE
			碣	碣	碣					jié					K = SH	SH = TH	RTK key & RTH key missing			碣			FALSE
			碴	碴						chá|chā					K missing	SH = TH	RTK key & RTH key missing			碴			FALSE
			碾	碾	碾					niǎn					K = SH	SH = TH	RTK key & RTH key missing			碾			FALSE
			磊	磊	磊					lěi					K = SH	SH = TH	RTK key & RTH key missing			磊			FALSE
			磋	磋	磋					cuō					K = SH	SH = TH	RTK key & RTH key missing			磋			FALSE
			磧	碛	磧					qì					K = TH	SH <> TH	RTK key & RTH key missing			磧			FALSE
			磬	磬	磬					qìng					K = SH	SH = TH	RTK key & RTH key missing			磬			FALSE
			磴	磴	磴					dèng					K = SH	SH = TH	RTK key & RTH key missing			磴			FALSE
			磺	磺	磺					huáng					K = SH	SH = TH	RTK key & RTH key missing			磺			FALSE
			礡	礴						bó					K missing	SH <> TH	RTK key & RTH key missing			礡			FALSE
			礫	砾	礫					lì					K = TH	SH <> TH	RTK key & RTH key missing			礫			FALSE
			礬	矾	礬					fán					K = TH	SH <> TH	RTK key & RTH key missing			礬			FALSE
			祁	祁	祁					Qí					K = SH	SH = TH	RTK key & RTH key missing			祁			FALSE
			祗	祗	祗					zhī					K = SH	SH = TH	RTK key & RTH key missing			祗			FALSE
			祚	祚	祚					zuò					K = SH	SH = TH	RTK key & RTH key missing			祚			FALSE
			祠	祠	祠					cí					K = SH	SH = TH	RTK key & RTH key missing			祠			FALSE
			祺	祺	祺					qí					K = SH	SH = TH	RTK key & RTH key missing			祺			FALSE
			禧	禧	禧					xǐ					K = SH	SH = TH	RTK key & RTH key missing			禧			FALSE
			禳	禳	禳					ráng					K = SH	SH = TH	RTK key & RTH key missing			禳			FALSE
			禹	禹	禹					Yǔ					K = SH	SH = TH	RTK key & RTH key missing			禹			FALSE
			禺	禺	禺					yú					K = SH	SH = TH	RTK key & RTH key missing			禺			FALSE
			秈	秈	秈					xiān					K = SH	SH = TH	RTK key & RTH key missing			秈			FALSE
			秣	秣	秣					mò					K = SH	SH = TH	RTK key & RTH key missing			秣			FALSE
			秫	秫	秫					shú					K = SH	SH = TH	RTK key & RTH key missing			秫			FALSE
			稂	稂	稂					láng					K = SH	SH = TH	RTK key & RTH key missing			稂			FALSE
			稈	秆	稈					gǎn					K = TH	SH <> TH	RTK key & RTH key missing			稈			FALSE
			稊	稊	稊					tí					K = SH	SH = TH	RTK key & RTH key missing			稊			FALSE
			稞	稞	稞					kē					K = SH	SH = TH	RTK key & RTH key missing			稞			FALSE
			稟	禀	稟					bǐng					K = TH	SH <> TH	RTK key & RTH key missing			稟			FALSE
			稷	稷	稷					jì					K = SH	SH = TH	RTK key & RTH key missing			稷			FALSE
			穠	穠	穠					nóng					K = SH	SH = TH	RTK key & RTH key missing			穠			FALSE
			穡	穑	穡					sè					K = TH	SH <> TH	RTK key & RTH key missing			穡			FALSE
			穢	秽	穢					huì					K = TH	SH <> TH	RTK key & RTH key missing			穢			FALSE
			穹	穹	穹					qióng					K = SH	SH = TH	RTK key & RTH key missing			穹			FALSE
			窈	窈	窈					yǎo					K = SH	SH = TH	RTK key & RTH key missing			窈			FALSE
			窕	窕	窕					tiǎo					K = SH	SH = TH	RTK key & RTH key missing			窕			FALSE
			窖	窖	窖					jiào					K = SH	SH = TH	RTK key & RTH key missing			窖			FALSE
			窠	窠	窠					kē					K = SH	SH = TH	RTK key & RTH key missing			窠			FALSE
			窣	窣	窣					sū|sù					K = SH	SH = TH	RTK key & RTH key missing			窣			FALSE
			窿	窿	窿					lóng					K = SH	SH = TH	RTK key & RTH key missing			窿			FALSE
			竅	窍	竅					qiào					K = TH	SH <> TH	RTK key & RTH key missing			竅			FALSE
			竇	窦	竇					dòu					K = TH	SH <> TH	RTK key & RTH key missing			竇			FALSE
			竽	竽	竽					yú					K = SH	SH = TH	RTK key & RTH key missing			竽			FALSE
			笄	笄	笄					jī					K = SH	SH = TH	RTK key & RTH key missing			笄			FALSE
			笆	笆	笆					bā					K = SH	SH = TH	RTK key & RTH key missing			笆			FALSE
			笞	笞	笞					chī					K = SH	SH = TH	RTK key & RTH key missing			笞			FALSE
			筠	筠	筠					Jūn|yún					K = SH	SH = TH	RTK key & RTH key missing			筠			FALSE
			筧	笕	筧					jiǎn					K = TH	SH <> TH	RTK key & RTH key missing			筧			FALSE
			筮	筮	筮					shì					K = SH	SH = TH	RTK key & RTH key missing			筮			FALSE
			筵	筵	筵					yán					K = SH	SH = TH	RTK key & RTH key missing			筵			FALSE
			箝	箝	箝					qián					K = SH	SH = TH	RTK key & RTH key missing			箝			FALSE
			箠	箠	箠					chuí					K = SH	SH = TH	RTK key & RTH key missing			箠			FALSE
			箬	箬	箬					ruò					K = SH	SH = TH	RTK key & RTH key missing			箬			FALSE
			箴	箴	箴					zhēn					K = SH	SH = TH	RTK key & RTH key missing			箴			FALSE
			篆	篆	篆					zhuàn					K = SH	SH = TH	RTK key & RTH key missing			篆			FALSE
			篋	箧	篋					qiè					K = TH	SH <> TH	RTK key & RTH key missing			篋			FALSE
			篌	篌	篌					hóu					K = SH	SH = TH	RTK key & RTH key missing			篌			FALSE
			篙	篙	篙					gāo					K = SH	SH = TH	RTK key & RTH key missing			篙			FALSE
			篡	篡						cuàn					K missing	SH = TH	RTK key & RTH key missing			篡			FALSE
			篦	篦	篦					bì					K = SH	SH = TH	RTK key & RTH key missing			篦			FALSE
			篾	篾	篾					miè					K = SH	SH = TH	RTK key & RTH key missing			篾			FALSE
			簌	簌	簌					sù					K = SH	SH = TH	RTK key & RTH key missing			簌			FALSE
			簍	篓	簍					lǒu					K = TH	SH <> TH	RTK key & RTH key missing			簍			FALSE
			簑	簑	簑					suō					K = SH	SH = TH	RTK key & RTH key missing			簑			FALSE
			簣	篑	簣					kuì					K = TH	SH <> TH	RTK key & RTH key missing			簣			FALSE
			簧	簧	簧					huáng					K = SH	SH = TH	RTK key & RTH key missing			簧			FALSE
			簪	簪	簪					zān					K = SH	SH = TH	RTK key & RTH key missing			簪			FALSE
			簫	箫	簫					xiāo					K = TH	SH <> TH	RTK key & RTH key missing			簫			FALSE
			簷	簷	簷					yán					K = SH	SH = TH	RTK key & RTH key missing			簷			FALSE
			籀	籀	籀					zhòu					K = SH	SH = TH	RTK key & RTH key missing			籀			FALSE
			籐	籐	籐					téng					K = SH	SH = TH	RTK key & RTH key missing			籐			FALSE
			籙	籙	籙					lù					K = SH	SH = TH	RTK key & RTH key missing			籙			FALSE
			籟	籁	籟					lài					K = TH	SH <> TH	RTK key & RTH key missing			籟			FALSE
			籥	籥	籥					yuè					K = SH	SH = TH	RTK key & RTH key missing			籥			FALSE
			籪	簖						duàn					K missing	SH <> TH	RTK key & RTH key missing			籪			FALSE
			籽	籽	籽					zǐ					K = SH	SH = TH	RTK key & RTH key missing			籽			FALSE
			粑	粑						bā					K missing	SH = TH	RTK key & RTH key missing			粑			FALSE
			粳	粳	粳					jīng					K = SH	SH = TH	RTK key & RTH key missing			粳			FALSE
			粵	粤						Yuè					K missing	SH <> TH	RTK key & RTH key missing			粵			FALSE
			粽	粽	粽					zòng					K = SH	SH = TH	RTK key & RTH key missing			粽			FALSE
			糅	糅	糅					róu					K = SH	SH = TH	RTK key & RTH key missing			糅			FALSE
			糗	糗	糗					qiǔ					K = SH	SH = TH	RTK key & RTH key missing			糗			FALSE
			糜	糜	糜					mí|méi					K = SH	SH = TH	RTK key & RTH key missing			糜			FALSE
			糝	糁	糝					shēn					K = TH	SH <> TH	RTK key & RTH key missing			糝			FALSE
			糢	糢	糢					mó					K = SH	SH = TH	RTK key & RTH key missing			糢			FALSE
			糨	糨						jiàng					K missing	SH = TH	RTK key & RTH key missing			糨			FALSE
			糯	糯	糯					nuò					K = SH	SH = TH	RTK key & RTH key missing			糯			FALSE
			糰	糰						tuán					K missing	SH = TH	RTK key & RTH key missing			糰			FALSE
			糲	糲	糲					lì					K = SH	SH = TH	RTK key & RTH key missing			糲			FALSE
			紂	纣	紂					Zhòu					K = TH	SH <> TH	RTK key & RTH key missing			紂			FALSE
			紆	纡	紆					yū					K = TH	SH <> TH	RTK key & RTH key missing			紆			FALSE
			紇	纥	紇					hé					K = TH	SH <> TH	RTK key & RTH key missing			紇			FALSE
			紈	纨	紈					wán					K = TH	SH <> TH	RTK key & RTH key missing			紈			FALSE
			紉	纫	紉					rèn					K = TH	SH <> TH	RTK key & RTH key missing			紉			FALSE
			紊	紊	紊					wěn					K = SH	SH = TH	RTK key & RTH key missing			紊			FALSE
			紕	纰	紕					pī					K = TH	SH <> TH	RTK key & RTH key missing			紕			FALSE
			紜	纭	紜					yún					K = TH	SH <> TH	RTK key & RTH key missing			紜			FALSE
			紲	绁	紲					xiè					K = TH	SH <> TH	RTK key & RTH key missing			紲			FALSE
			紼	绋	紼					fú					K = TH	SH <> TH	RTK key & RTH key missing			紼			FALSE
			紿	紿	紿					dài					K = SH	SH = TH	RTK key & RTH key missing			紿			FALSE
			絀	绌	絀					chù					K = TH	SH <> TH	RTK key & RTH key missing			絀			FALSE
			絏	絏	絏					xiè|yì					K = SH	SH = TH	RTK key & RTH key missing			絏			FALSE
			絛	绦	絛					tāo					K = TH	SH <> TH	RTK key & RTH key missing			絛			FALSE
